feature,importance
num_submissions,0.2525542802326841
late_clicks,0.15524251999301672
max_score,0.10582993625175782
num_active_days,0.10080117934488839
avg_score,0.08879767675769855
total_clicks,0.0767573041441196
unique_activities,0.06287756442274973
early_clicks,0.04887397475717769
avg_daily_clicks,0.039964036752859644
region,0.016649983690444164
imd_band,0.01608134031339097
studied_credits,0.011434730694753549
highest_education,0.007982675762186066
gender,0.00518265086678261
num_of_prev_attempts,0.004470134548594539
age_band,0.0040828688220524035
disability,0.002417142644843509
